orig_order,id,establishment_id,phone,latitude,longitude,formatted_address,address_fs,name,name_fs_search,fs_id,checkinsCount,createdat,days,avg_checkins,avg_checkins_round,avg_visitsCount,avg_visitsCount_round,rating,priceTier,brand_name,yelp_id,exit_mapping/exit_id,exit_latitude,exit_longitude,destination_latitude,destination_longitude,exit_mapping/distance,exit_mapping/cardinal_direction_short,exit_mapping/cardinal_direction_long,exit_mapping/turn_direction_short,exit_mapping/turn_direction_long,amenities/0/id,amenities/0/name,amenities/0/priority,amenities/0/image_prefix,top_priority_amenity/id,top_priority_amenity/name,top_priority_amenity/priority,top_priority_amenity/image_prefix,logo/id,ll,phone_str,visitsCount
2,814424,121,1-610-913-0924,40.155956,-75.864907,"700 Crossings Blvd, Elverson, PA 19543",,Arbys,Arby's,4bc7353815a7ef3b0fe778da,457,1271346488,2988.145197,15.2937682,,26.43780499,,6.6,1,Arbys,arbys-elverson,35181,40.162059,-75.882594,40.164116,-75.88174,1.06,SE,Southeast,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,790,"40.155956,-75.86490699999999",6109130924,790
6,408,283,1-610-913-1150,40.153452,-75.864261,"214 Crossing Boulevard, Elverson, PA 19520",,Subway,Subway,4c293c5ace3fc928287c6e88,326,1277770842,2913.789248,11.18818049,,13.83078753,,5.9,1,Subway,subway-elverson-2,35181,40.162059,-75.882594,40.164116,-75.88174,1.17,SE,Southeast,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"40.153452,-75.864261",6109131150,403
7,489010,167,1-610-286-3610,40.15576,-75.86291,"850 Crossings Boulevard, Morgantown, PA 19520",,Sonic,SONIC Drive In,4b4d07f8f964a52090c826e3,1208,1263339512,3080.81853,39.21035881,,54.33620915,,7.1,1,Sonic,sonic-morgantown,35181,40.162059,-75.882594,40.164116,-75.88174,1.17,SE,Southeast,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,789,"40.15576,-75.86291",6102863610,1674
19,201509,153,1-610-286-0220,40.157941,-75.891342,"6176 Morgantown Rd, Morgantown, PA 19543",,McDonalds,McDonald's,4b913c72f964a52027ac33e3,967,1267809394,3029.083785,31.92384459,,72.1340232,,5.6,1,McDonalds,mcdonalds-morgantown-9,35182,40.164144,-75.883037,40.164039,-75.88306,0.38,SW,Southwest,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,771,"40.157940999999994,-75.89134200000001",6102860220,2185
28,191767,127,1-610-286-0014,40.152382,-75.899294,"2850 West Main St, Morgantown, PA 19543-9477",,Burger King,Burger King,5603402e498ec1937227e216,63,1443053614,1000.794201,6.295000502,,22.88182722,,6,1,Burger King,burger-king-morgantown-7,35182,40.164144,-75.883037,40.164039,-75.88306,0.73,SW,Southwest,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,779,"40.152382,-75.899294",6102860014,229
43,306031,283,1-610-898-9299,40.269169,-75.919502,"100 Love Road, Reading, PA 19607",,Subway,Subway,4c4250c0d7fad13a100109da,346,1279414464,2894.765845,11.95260752,,17.96345639,,7.5,1,Subway,subway-reading-9,35183,40.251396,-75.913569,40.253204,-75.91209,1.33,NW,Northwest,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"40.269169,-75.91950200000001",6108989299,520
69,306104,283,1-610-370-5230,40.328563,-75.892331,"2237 Howard Blvd, Reading, PA 19606",,Subway,Subway,4cd201425b5ca35d33fc84f0,210,1288831298,2785.774711,7.538298025,,11.98948353,,6.9,1,Subway,subway-reading-16,35184,40.293949,-75.902201,40.297806,-75.899969,1.34,N,North,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"40.328563,-75.892331",6103705230,334
73,242073,153,1-610-779-9929,40.327315,-75.88101,"2730 Perkiomen Ave, Saint Lawrence, PA 19606",,McDonalds,McDonald's,4c1fa0a7920076b0220bc5e9,878,1277141159,2921.077245,30.05740438,,61.99767578,,5.3,1,McDonalds,mcdonalds-reading-4,35184,40.293949,-75.902201,40.297806,-75.899969,1.41,NE,Northeast,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,771,"40.327315000000006,-75.88101",6107799929,1811
77,191793,127,1-610-779-5388,40.303516,-75.856314,"4890 Perkiomen Avenue, Reading, PA 19606-9461",,Burger King,Burger King,4bda059ac79cc9285d177de9,552,1272579482,2973.874433,18.5616445,,31.94485919,,5.2,1,Burger King,burger-king-reading-10,35184,40.293949,-75.902201,40.297806,-75.899969,1.45,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,779,"40.303515999999995,-75.856314",6107795388,950
80,814526,121,1-610-779-7055,40.303952,-75.855259,"4901 Perkiomen Ave, Reading, PA 19606",,Arbys,Arby's,4b9fb654f964a5206e3737e3,614,1268758100,3018.103391,20.34390213,,32.10625596,,7.4,1,Arbys,arbys-reading-5,35184,40.293949,-75.902201,40.297806,-75.899969,1.49,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,790,"40.303952,-75.855259",6107797055,969
